category,fraction,average_dot_product,variance,second_best_category
image of dog,0.5855886332882273,0.24570115,0.00018740015,picture of dog
image of cat,0.086468200270636,0.2525765,0.00015220583,picture of cat
cool picture of cat,0.0006765899864682003,0.25117293,0.0006970942,image of cat
image of cats,0.0014208389715832206,0.26999298,0.00014614491,picture of cats
moving picture of dog,0.002165087956698241,0.26181525,0.00012686104,image of dog
picture of dog,0.002165087956698241,0.266192,0.00027986616,image of dog
moving dog,0.0008795669824086603,0.2636061,0.00022854713,image of dog
amazing dog,0.02774018944519621,0.26679897,0.00010094992,image of dog
image of cool dog,0.008660351826792964,0.27029428,0.00011880696,image of dog
moving cat,0.002638700947225981,0.27633727,0.00012990755,amazing cat
sitting cat,0.03159675236806495,0.27559206,8.770536e-05,image of nice cat
cool picture of dog,0.002571041948579161,0.27055398,9.164057e-05,image of dog
sitting dog,0.058051420838971586,0.27019554,0.00010192089,image of dog
image of nice cat,0.040663058186738835,0.2740541,6.3167834e-05,image of cat
amazing cat,0.03971583220568336,0.27468982,7.4981224e-05,image of nice cat
funny picture of cat,0.002638700947225981,0.27884182,8.308582e-05,funny image of cat
cat picture,0.0010148849797023004,0.27076054,3.9656956e-05,picture of cat
dog picture,0.0015561569688768606,0.26607385,7.066519e-05,image of dog
image of nice dog,0.02631935047361299,0.2699437,0.00010060406,image of dog
dog image,0.004127198917456022,0.26232395,6.939935e-05,image of dog
cute dog,0.02110960757780785,0.26788118,8.2822946e-05,cute image of dog
funny cat,0.0033829499323410014,0.27407792,6.769657e-05,funny picture of cat
funny dog,0.004330175913396482,0.26750833,6.663799e-05,funny image of dog
cool cat,0.00047361299052774017,0.2639784,0.00013797198,image of cool cat
cute cat,0.004939106901217862,0.27754587,7.8233956e-05,amazing cat
funny image of dog,0.009607577807848443,0.26938322,8.2378654e-05,funny picture of dog
cat image,0.003991880920162382,0.26386055,9.131028e-05,image of cat
funny picture of dog,0.004533152909336942,0.27500874,0.00010804988,funny image of dog
image of cool cat,0.0033829499323410014,0.26882163,0.000109291075,image of nice cat
amazing image of dog,0.0014884979702300405,0.26866558,9.569255e-05,amazing dog
nice cat,0.0010148849797023004,0.2721115,9.961128e-05,amazing cat
image of dogs,0.0044654939106901215,0.26675949,9.901596e-05,image of dog
cute image of dog,0.0040595399188092015,0.26614663,0.00011891524,cute dog
nice dog,0.0006089309878213803,0.25726637,0.00010098351,image of dog
moving picture of cat,0.00040595399188092014,0.2690664,1.0376175e-05,cat image
cool dog,0.00047361299052774017,0.26793912,0.00011006423,image of cool dog
funny image of cat,0.002841677943166441,0.27197742,8.365086e-05,funny picture of cat
cute picture of dog,0.00033829499323410016,0.2724555,5.1921605e-05,cute image of dog
picture of cat,0.0008795669824086603,0.27343175,4.538206e-05,image of cat
cute image of cat,0.00040595399188092014,0.26428667,7.788341e-06,cat image
amazing image of cat,0.00027063599458728013,0.2744501,2.8654933e-05,amazing cat
dog,0.00033829499323410016,0.2617229,3.0118226e-05,dog image
