category,fraction,average_dot_product,variance,second_best_category
picture of dog,0.6127198917456022,0.24572338,0.00020211155,image of dogs
image of dogs,0.07746955345060894,0.23988906,0.00020981835,picture of dog
image of cats,0.059336941813261164,0.24212688,0.00013902549,picture of cat
picture of cat,0.15825439783491205,0.25868058,0.00017009734,cat
moving dog,0.008457374830852503,0.25873315,9.829712e-05,picture of dog
moving cat,0.011231393775372125,0.26652512,0.00011560716,picture of cat
dog picture,0.018673883626522326,0.25880286,7.986677e-05,picture of dog
cat,0.021447902571041948,0.25951818,6.7864305e-05,picture of cat
dog,0.02124492557510149,0.25551254,7.087562e-05,picture of dog
cat picture,0.010893098782138025,0.2644901,7.141895e-05,picture of cat
dogs,0.00027063599458728013,0.26105165,5.7779253e-05,image of dogs
