category,fraction,average_dot_product,variance,second_best_category
image of dog,0.6181326116373478,0.24662404,0.0001969947,picture of dog
image of cat,0.09079837618403247,0.25322738,0.00015976248,picture of cat
image of cats,0.002097428958051421,0.26716903,0.0001891813,picture of cats
moving picture of dog,0.004736129905277402,0.26288125,8.740425e-05,image of dog
picture of dog,0.0031123139377537213,0.26567286,0.00021240504,image of dog
moving picture of cat,0.0013531799729364006,0.26741967,0.000111544134,cat image
moving dog,0.0011502029769959404,0.26290685,0.00018384878,image of dog
picture of cat,0.0014208389715832206,0.27161577,0.00011902764,image of cat
image of cool dog,0.013464140730717186,0.26932403,0.000104698105,image of dog
moving cat,0.0037889039242219214,0.27263105,0.00013826575,image of cat
image of nice dog,0.04479025710419486,0.26831824,0.00010230534,image of dog
sitting cat,0.03795669824086603,0.2750085,8.441973e-05,image of nice cat
dog picture,0.0027063599458728013,0.26475683,8.536577e-05,image of dog
sitting dog,0.0689445196211096,0.2693184,0.000103869075,image of dog
image of nice cat,0.07104194857916103,0.27326134,6.390526e-05,image of cat
image of cool cat,0.005277401894451962,0.26840517,9.806339e-05,image of nice cat
cat picture,0.0014208389715832206,0.26887465,6.0586703e-05,picture of cat
nice cat,0.006156968876860623,0.26870447,9.248021e-05,image of nice cat
nice dog,0.0018944519621109607,0.2579927,8.9441026e-05,image of dog
dog image,0.005074424898511502,0.26110676,8.021037e-05,image of dog
cat image,0.006495263870094722,0.2642307,8.291503e-05,image of cat
cool dog,0.0010148849797023004,0.26637316,0.00011355082,image of cool dog
cool cat,0.0009472259810554803,0.26457635,0.000105581115,image of cool cat
image of dogs,0.005548037889039242,0.26484972,0.00011376637,image of dog
dogs,0.00013531799729364006,0.2545746,2.6263297e-05,nice dog
dog,0.0005412719891745603,0.25912172,4.403293e-05,dog image
