category,fraction,average_dot_product,variance,second_best_category
picture of dog,0.35764546684709064,0.2366128,6.882332e-05,dog image
image of dogs,0.0462787550744249,0.23780607,0.00019486745,dog image
cat image,0.02029769959404601,0.26021165,0.00013336181,image of nice cat
image of cats,0.04979702300405954,0.23974387,0.00010338037,picture of cat
picture of cat,0.04986468200270636,0.24532497,0.00011930116,cat image
dog image,0.07976995940460081,0.25197384,0.00024969928,picture of dog
image of nice cat,0.08146143437077132,0.27273673,6.6617795e-05,cat image
image of cool cat,0.005953991880920162,0.26734012,0.0001297539,image of nice cat
moving dog,0.002638700947225981,0.2613774,0.00011831675,dog image
image of cool dog,0.02023004059539919,0.2673744,0.00010787045,image of nice dog
image of nice dog,0.12476319350473614,0.26538152,8.779596e-05,dog image
moving cat,0.004127198917456022,0.27204198,0.00013354568,image of nice cat
sitting cat,0.04073071718538566,0.27443403,8.6027125e-05,image of nice cat
dog picture,0.004736129905277402,0.26346818,8.125987e-05,picture of dog
sitting dog,0.09769959404600811,0.26749486,0.00010189257,image of nice dog
cat picture,0.0015561569688768606,0.2689084,5.8998234e-05,picture of cat
nice cat,0.006359945872801083,0.2686783,9.227813e-05,image of nice cat
nice dog,0.0029093369418132613,0.2579114,0.000104277635,image of nice dog
cool dog,0.0011502029769959404,0.26505306,0.000115058,image of cool dog
cool cat,0.0009472259810554803,0.26457635,0.000105581115,image of cool cat
dog,0.0008795669824086603,0.26050135,6.918724e-05,dog image
dogs,0.00013531799729364006,0.2545746,2.6263297e-05,nice dog
cat,6.765899864682003e-05,0.2663925,0.0,picture of cat
