category,fraction,average_dot_product,variance,second_best_category
Image of Swan,0.008737229541467441,0.29580125,0.00030029478,Picture of Swan
Image of Goose,0.014275394723263734,0.2977153,0.0003687939,Picture of Goose
Picture of Swan,0.0033366585256785113,0.30290663,0.00015893916,Image of Swan
Swan,0.0008599635375460081,0.2882075,0.00034546852,Picture of Swan
Image of Ostrich,0.00533177393278525,0.3082816,0.0003579109,Picture of Ostrich
Image of Magpie,0.012314677857658836,0.29343152,0.000452942,Picture of Magpie
Image of Zebra,0.0064669258023459806,0.31661177,0.0002300993,Picture of Zebra
Picture of Zebra,0.0009287606205496887,0.31458053,0.00013364686,Image of Zebra
Image of Camel,0.0027518833201472257,0.2917369,0.0003298223,Picture of Camel
Image of Woodpecker,0.006879708300368065,0.30115712,0.00037050247,Picture of Woodpecker
Woodpecker,0.0007911664545423274,0.29795045,0.00034259714,Picture of Woodpecker
Picture of Woodpecker,0.001926318324103058,0.30337396,0.0003642014,Image of Woodpecker
Squirrel,0.0005159781225276049,0.293878,8.893013e-05,Image of Squirrel
Image of Harbor Seal,0.008737229541467441,0.29896608,0.00031083776,Picture of Harbor Seal
Image of Sea Lion,0.010353960992053936,0.3045377,0.00023165731,Picture of Sea Lion
Image of Whale,0.010801142031577862,0.29728332,0.0002337474,Picture of Whale
Sea Lion,0.0015479343675828144,0.30064514,0.00027017592,Image of Sea Lion
Image of Otter,0.003921433731209797,0.30087352,0.00034349842,Picture of Otter
Picture of Otter,0.00020639124901104193,0.3115612,8.2065664e-05,Image of Otter
Otter,0.00044718103952392417,0.30343187,6.352938e-05,Image of Otter
Image of Hippopotamus,0.004987788517766847,0.30911,0.00037927958,Picture of Hippopotamus
Picture of Harbor Seal,0.00010319562450552096,0.29698342,0.00016843279,Image of Harbor Seal
Picture of Sea Lion,0.00027518833201472257,0.30433792,0.00031161308,Image of Sea Lion
Image of Panda,0.0017543256165938564,0.29926604,0.00014936223,Picture of Panda
Picture of Panda,0.001823122699597537,0.3027017,6.919537e-05,Image of Panda
Image of Red panda,0.0028550789446527467,0.3242598,0.00029089366,Picture of Red panda
Image of Raccoon,0.004403013312235561,0.30726677,0.000265114,Picture of Raccoon
Image of Rhinoceros,0.006982903924873585,0.30289757,0.00025033246,Picture of Rhinoceros
Picture of Rhinoceros,0.0019951154071067385,0.29975984,0.00014211392,Image of Rhinoceros
Image of Elephant,0.004437411853737402,0.29369825,0.00023007208,Picture of Elephant
Image of Hamster,0.005228578308279729,0.2974951,0.0002754362,Picture of Hamster
Image of Mouse,0.005641360806301812,0.2876858,0.00029745916,Picture of Mouse
Image of Lynx,0.003818238106704276,0.28460273,0.00041959953,Picture of Lynx
Hamster,0.00027518833201472257,0.27740973,0.00019749254,Picture of Hamster
Picture of Mouse,0.0006879708300368064,0.2840497,0.00019640327,Image of Mouse
Picture of Hamster,0.0012727460355680918,0.30237338,0.00011468578,Image of Hamster
Pig,6.879708300368064e-05,0.27377996,0.0,Image of Pig
Picture of Hedgehog,0.002029513948608579,0.31426394,0.0004590972,Image of Hedgehog
Image of Hedgehog,0.002820680403150906,0.3072727,0.0002924698,Picture of Hedgehog
